entidade,campo,tipo_bigquery_sugerido,descricao,unidade,schema
proveniencia,source_id,STRING,Identificador da fonte no catálogo; não é segredo,ID,proposto; nao nativo
proveniencia,source_record_id,STRING,Identificador original; usar chave composta documentada quando não houver ID,ID,proposto; nao nativo
proveniencia,source_url,STRING,URL da evidência ou endpoint sem credenciais,URL,proposto; nao nativo
proveniencia,source_updated_at,TIMESTAMP,"Última atualização declarada pelo fornecedor, se informada",UTC,proposto; nao nativo
proveniencia,published_at,TIMESTAMP,"Momento original de publicação, quando conhecido",UTC,proposto; nao nativo
proveniencia,first_seen_at,TIMESTAMP,Primeiro instante em que nosso sistema observou a informação,UTC,proposto; nao nativo
proveniencia,ingested_at,TIMESTAMP,Instante de chegada ao pipeline,UTC,proposto; nao nativo
proveniencia,valid_from,TIMESTAMP,"Início da validade do fato no mundo real, quando conhecido",UTC,proposto; nao nativo
proveniencia,valid_to,TIMESTAMP,Fim da validade; nulo para intervalo ainda aberto,UTC,proposto; nao nativo
proveniencia,schema_version,STRING,Versão do contrato de transformação usado,texto,proposto; nao nativo
proveniencia,raw_payload_ref,STRING,Referência interna ao dado bruto preservado,URI,proposto; nao nativo
proveniencia,license_ref,STRING,Referência aos termos aplicáveis à captura e ao uso,URL/texto,proposto; nao nativo
proveniencia,quality_status,STRING,"Situação da validação: accepted, quarantined ou pending",enum,proposto; nao nativo
competicao,competition_id,STRING,ID interno estável da competição,ID,proposto; nao nativo
competicao,season_id,STRING,ID interno da edição; não inferir apenas pelo mês do jogo,ID,proposto; nao nativo
competicao,name,STRING,Nome oficial ou nome preferencial documentado,texto,proposto; nao nativo
competicao,country_code,STRING,País principal; nulo para competição multinacional,ISO 3166-1 alpha-2,proposto; nao nativo
competicao,confederation,STRING,"Confederação responsável, se aplicável",texto,proposto; nao nativo
competicao,season_label,STRING,"Rótulo da edição, como 2025/26 ou 2026",texto,proposto; nao nativo
competicao,starts_on,DATE,Primeiro dia da edição,data,proposto; nao nativo
competicao,ends_on,DATE,Último dia da edição,data,proposto; nao nativo
competicao,gender_category,STRING,Categoria declarada pela competição,texto,proposto; nao nativo
competicao,age_category,STRING,"Categoria etária: sênior, sub-20 etc.",texto,proposto; nao nativo
competicao,discipline,STRING,"Futebol de campo, futsal ou futebol de areia",enum,proposto; nao nativo
competicao,tier,INT64,Nível da divisão nacional quando aplicável,ordinal,proposto; nao nativo
equipe,team_id,STRING,ID interno da equipe,ID,proposto; nao nativo
equipe,organization_id,STRING,Organização que pode manter equipes de várias categorias,ID,proposto; nao nativo
equipe,name,STRING,Nome de exibição da equipe,texto,proposto; nao nativo
equipe,short_name,STRING,Nome curto ou sigla,texto,proposto; nao nativo
equipe,country_code,STRING,País de representação ou sede,ISO 3166-1 alpha-2,proposto; nao nativo
equipe,team_type,STRING,Club ou national_team,enum,proposto; nao nativo
equipe,gender_category,STRING,Categoria da equipe,texto,proposto; nao nativo
equipe,age_category,STRING,Categoria etária,texto,proposto; nao nativo
equipe,founded_on,DATE,Fundação; não inventar dia/mês se só o ano for conhecido,data,proposto; nao nativo
equipe,stadium_id,STRING,Estádio habitual; não implica mando de todos os jogos,ID,proposto; nao nativo
equipe,website,STRING,Site oficial,URL,proposto; nao nativo
jogador,player_id,STRING,ID interno estável da pessoa,ID,proposto; nao nativo
jogador,full_name,STRING,Nome completo publicado,texto,proposto; nao nativo
jogador,display_name,STRING,Nome usado em escalações e interface,texto,proposto; nao nativo
jogador,birth_date,DATE,Data de nascimento publicada,data,proposto; nao nativo
jogador,nationalities,ARRAY<STRING>,Nacionalidades declaradas; podem ser múltiplas,ISO 3166-1 alpha-2,proposto; nao nativo
jogador,birth_country,STRING,"País de nascimento, distinto de nacionalidade",ISO 3166-1 alpha-2,proposto; nao nativo
jogador,height_cm,FLOAT64,Altura normalizada,cm,proposto; nao nativo
jogador,weight_kg,FLOAT64,Peso informado e datado quando possível,kg,proposto; nao nativo
jogador,preferred_foot,STRING,"Pé preferido: left, right, both ou unknown",enum,proposto; nao nativo
jogador,primary_position,STRING,Posição principal normalizada com tabela de equivalência,enum,proposto; nao nativo
elenco,player_id,STRING,Atleta vinculado,ID,proposto; nao nativo
elenco,team_id,STRING,Equipe do vínculo,ID,proposto; nao nativo
elenco,competition_id,STRING,Competição da inscrição quando específica,ID,proposto; nao nativo
elenco,season_id,STRING,Edição de referência,ID,proposto; nao nativo
elenco,jersey_number,INT64,Número usado nesse vínculo/temporada,número,proposto; nao nativo
elenco,contract_start,DATE,Início do contrato quando publicado,data,proposto; nao nativo
elenco,contract_end,DATE,"Fim do contrato divulgado, sem inferir renovação",data,proposto; nao nativo
elenco,on_loan,BOOL,Se o vínculo com a equipe é por empréstimo,booleano,proposto; nao nativo
elenco,parent_team_id,STRING,Equipe detentora do vínculo de origem se publicada,ID,proposto; nao nativo
partida,match_id,STRING,ID interno estável; não muda em reagendamento,ID,proposto; nao nativo
partida,competition_id,STRING,Competição da partida,ID,proposto; nao nativo
partida,season_id,STRING,Edição da competição,ID,proposto; nao nativo
partida,home_team_id,STRING,Equipe designada mandante,ID,proposto; nao nativo
partida,away_team_id,STRING,Equipe designada visitante,ID,proposto; nao nativo
partida,kickoff_utc,TIMESTAMP,Horário previsto/confirmado com histórico de revisões,UTC,proposto; nao nativo
partida,stadium_id,STRING,Local efetivo do jogo,ID,proposto; nao nativo
partida,neutral_venue,BOOL,Indica campo neutro; distinto de mandante administrativo,booleano,proposto; nao nativo
partida,stage,STRING,Fase do torneio,texto,proposto; nao nativo
partida,round,STRING,Rodada ou etapa; pode não ser número,texto,proposto; nao nativo
partida,leg,INT64,"Perna da eliminatória, se aplicável",ordinal,proposto; nao nativo
partida,status,STRING,"scheduled, live, halftime, finished, postponed, cancelled, abandoned ou unknown",enum,proposto; nao nativo
partida,home_score_90,INT64,Gols do mandante até o fim do tempo regulamentar com acréscimos,gols,proposto; nao nativo
partida,away_score_90,INT64,Gols do visitante no tempo regulamentar com acréscimos,gols,proposto; nao nativo
partida,home_score_et,INT64,Gols adicionais do mandante só na prorrogação,gols,proposto; nao nativo
partida,away_score_et,INT64,Gols adicionais do visitante só na prorrogação,gols,proposto; nao nativo
partida,home_penalties,INT64,Cobranças convertidas pelo mandante na disputa de pênaltis,gols,proposto; nao nativo
partida,away_penalties,INT64,Cobranças convertidas pelo visitante na disputa de pênaltis,gols,proposto; nao nativo
